siteID,Park,xcoord,ycoord,mdcaty,panel,wgt,lake_id,lake_area,lake_perim
Y091-Out,YOSE,251446.3724,4204069.961,1,OverSamp,10.2,70235,66493,1024
Y092-Out,YOSE,295644.9497,4184684.703,2,OverSamp,7.714285714,70385,19763,510
Y093-Out,YOSE,298304.2349,4175416.06,6,OverSamp,26.5,70509,36316,1204
Y094-Out,YOSE,258157.4043,4219625.22,4,OverSamp,15.75,70514,38595,1310
Y095-Out,YOSE,288885.3423,4187500.203,2,OverSamp,7.714285714,70537,44579,787
Y096-Out,YOSE,288783.6552,4161459.446,2,OverSamp,7.714285714,70636,115847,1322
Y097-Out,YOSE,253823.0523,4216069.213,4,OverSamp,15.75,70381,19177,939
Y098-Out,YOSE,279023.7161,4192213.598,2,OverSamp,7.714285714,70481,29802,906
Y099-Out,YOSE,296444.5659,4210438.305,2,OverSamp,7.714285714,70379,19138,576
Y100-Out,YOSE,305122.9288,4192051.607,1,OverSamp,10.2,70280,12659,459
Y101-Out,YOSE,268097.4018,4215165.54,5,OverSamp,16,70632,107682,2037
Y102-Out,YOSE,295458.9806,4171192.87,4,OverSamp,15.75,70307,14212,528
Y103-Out,YOSE,263231.9607,4219364.691,6,OverSamp,26.5,70529,41529,1545
Y104-Out,YOSE,295216.4639,4182894.338,3,OverSamp,11,70338,15992,667
Y105-Out,YOSE,296902.2452,4182021.051,3,OverSamp,11,70377,18895,625
Y106-Out,YOSE,260764.3026,4214394.086,3,OverSamp,11,70548,46615,1369
Y107-Out,YOSE,269849.6307,4193483.641,1,OverSamp,10.2,70515,38710,833
Y108-Out,YOSE,297247.3995,4201792.514,2,OverSamp,7.714285714,70491,32705,710
Y109-Out,YOSE,287825.9378,4195835.415,1,OverSamp,10.2,70219,10023,386
Y110-Out,YOSE,280014.858,4193617.717,2,OverSamp,7.714285714,70473,29019,725
Y111-Out,YOSE,288819.2969,4169804.498,4,OverSamp,15.75,70426,23248,754
Y112-Out,YOSE,303855.1599,4189358.974,1,OverSamp,10.2,70655,223126,1936
Y113-Out,YOSE,299954.364,4199568.469,1,OverSamp,10.2,70610,81429,2087
Y114-Out,YOSE,286590.4085,4168983.994,3,OverSamp,11,70600,73500,2001
Y115-Out,YOSE,265021.987,4220366.111,6,OverSamp,26.5,70558,49310,1282
Y116-Out,YOSE,293294.297,4186210.218,1,OverSamp,10.2,70493,32832,962
Y117-Out,YOSE,283508.6948,4176391.765,3,OverSamp,11,70269,12166,416
Y118-Out,YOSE,255342.6673,4219321.167,3,OverSamp,11,70650,191513,5617
Y119-Out,YOSE,286688.1549,4191389.404,1,OverSamp,10.2,70623,99684,1624
Y120-Out,YOSE,288453.5896,4207853.413,3,OverSamp,11,70494,33050,1226
Y121-Out,YOSE,277705.8041,4197194.757,2,OverSamp,7.714285714,70538,44597,860
